Drug,DrugBank ID,ATC Codes,Pathways
[2-(1-Amino-2-Hydroxy-Propyl)-4-(4-Fluoro-1h-Indol-3-Ylmethyl)-5-Hydroxy-Imidazol-1-Yl]-Acetic Acid,DB01674,No ATC Code,No Pathways
Methacrylyl-Coenzyme A,DB01675,No ATC Code,No Pathways
Trinitrotoluene,DB01676,No ATC Code,No Pathways
Fumaric acid,DB01677,D05AX01,No Pathways
RU84687,DB01678,No ATC Code,No Pathways
Propyl Trihydrogen Diphosphate,DB01679,No ATC Code,No Pathways
Benzene Hexacarboxylic Acid,DB01681,No ATC Code,No Pathways
6'-Methyl-Thiamin Diphosphate,DB01682,No ATC Code,No Pathways
Chymostatin,DB01683,No ATC Code,No Pathways
1-Hydroxy-1-Thio-Glycerol,DB01684,No ATC Code,No Pathways
Topiroxostat,DB01685,No ATC Code,No Pathways
"N,N-dimethylarginine",DB01686,No ATC Code,No Pathways
beta-Mannobiose,DB01687,No ATC Code,No Pathways
P-Cresol,DB01688,No ATC Code,No Pathways
Inhibitor Idd 384,DB01689,No ATC Code,No Pathways
Bis(Adenosine)-5'-Triphosphate,DB01690,No ATC Code,No Pathways
Indole Naphthyridinone,DB01691,No ATC Code,No Pathways
Dithioerythritol,DB01692,No ATC Code,No Pathways
D-tartaric acid,DB01694,No ATC Code,No Pathways
N-Hydroxy-4-phosphonobutanamide,DB01695,No ATC Code,No Pathways
beta-cellotriose,DB01697,No ATC Code,No Pathways
Rutin,DB01698,"C05CA51, C05CA01",No Pathways
(4e)-4-Aminohex-4-Enoic Acid,DB01699,No ATC Code,No Pathways
AICA ribonucleotide,DB01700,No ATC Code,"Adenylosuccinate Lyase Deficiency, Xanthine Dehydrogenase Deficiency (Xanthinuria), Xanthinuria Type I, Mitochondrial DNA Depletion Syndrome, Myoadenylate Deaminase Deficiency, Purine Metabolism, Purine Nucleoside Phosphorylase Deficiency, Lesch-Nyhan Syndrome (LNS), Gout or Kelley-Seegmiller Syndrome, Mercaptopurine Action Pathway, Adenine Phosphoribosyltransferase Deficiency (APRT), Adenosine Deaminase Deficiency, AICA-Ribosiduria, Molybdenum Cofactor Deficiency, Azathioprine Action Pathway, Thioguanine Action Pathway, Xanthinuria Type II"
"1,2-Dichloro-Propane",DB01701,No ATC Code,No Pathways
"2-(3,4-Dihydroxyphenyl)Acetic Acid",DB01702,No ATC Code,"Tyrosine Metabolism, Tyrosinemia Type I, Disulfiram Action Pathway, Alkaptonuria, Hawkinsinuria, Tyrosinemia, Transient, of the Newborn, Dopamine beta-Hydroxylase Deficiency, Monoamine Oxidase-A Deficiency (MAO-A)"
N-(2-ferrocenylethyl)maleimide,DB01703,No ATC Code,No Pathways
"2,4-Dihydroxy-Trans Cinnamic Acid",DB01704,No ATC Code,No Pathways
Bis(5-Amidino-Benzimidazolyl)Methane,DB01705,No ATC Code,No Pathways
2-Bromo-6-chloro-purine,DB01706,No ATC Code,No Pathways
"L-Alfa-Lysophosphatidylcholine, Lauroyl",DB01707,No ATC Code,No Pathways
Prasterone,DB01708,"G03EA03, G03XX01, A14AA07",No Pathways
2-phospho-D-glyceric acid,DB01709,No ATC Code,"Gluconeogenesis, Glycogenosis, Type IC, Glycogenosis, Type IA. Von Gierke Disease, Glycolysis, Glycogenosis, Type VII. Tarui Disease, Phosphoenolpyruvate Carboxykinase Deficiency 1 (PEPCK1), Glycogenosis, Type IB, Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease, Fructose-1,6-diphosphatase Deficiency, Triosephosphate Isomerase, Fanconi-Bickel Syndrome, Warburg Effect"
Porphyrin Fe(III),DB01710,No ATC Code,No Pathways
"2,3,4,5,6-Pentafluorobenzyl Alcohol",DB01711,No ATC Code,No Pathways
"(3R)-4-(p-toluenesulfonyl)-1,4-thiazane-3-carboxylicacid-L-phenylalanine ethyl ester",DB01712,No ATC Code,No Pathways
UDP-alpha-D-xylose,DB01713,No ATC Code,No Pathways
Epsilon-N-methyllysine,DB01714,No ATC Code,No Pathways
"7,8-Diamino-Nonanoic Acid",DB01715,No ATC Code,No Pathways
2-propenyl-N-acetyl-neuramic acid,DB01716,No ATC Code,No Pathways
Bis(Adenosine)-5'-Pentaphosphate,DB01717,No ATC Code,No Pathways
Cetrimonium,DB01718,"D08AJ04, D11AC01, R02AA17, D08AJ02",No Pathways
Thio-Maltopentaose,DB01719,No ATC Code,No Pathways
(2Z)-2-(Benzoylamino)-3-[4-(2-bromophenoxy)phenyl]acrylic acid,DB01720,No ATC Code,No Pathways
"N-[2-hydroxy-1-indanyl]-5-[(2-tertiarybutylaminocarbonyl)-4(benzo[1,3]dioxol-5-ylmethyl)-piperazino]-4-hydroxy-2-(1-phenylethyl)-pentanamide",DB01721,No ATC Code,No Pathways
"{3-[3-(3,4-Dimethoxy-Phenyl)-1-(1-{1-[2-(3,4,5-Trimethoxy-Phenyl)-Butyryl]-Piperidin-2yl}-Vinyloxy)-Propyl]-Phenoxy}-Acetic Acid",DB01723,No ATC Code,No Pathways
L-Threoninol,DB01724,No ATC Code,No Pathways
"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1H-1,3-benzodiazole-5-carboximidamide",DB01725,No ATC Code,No Pathways
2-Aminophenol,DB01726,No ATC Code,No Pathways
Isocitric Acid,DB01727,No ATC Code,No Pathways
"1,2-dihexadecanoyl-sn-glycero-3-phosphoethanolamine",DB01728,No ATC Code,No Pathways
"1D-myo-inositol 1,3,4-trisphosphate",DB01729,No ATC Code,"Inositol Metabolism, Inositol Phosphate Metabolism"
(S)-wiskostatin,DB01731,No ATC Code,No Pathways
"(4R,5S,6S,7R)-1,3-dibenzyl-4,7-bis(phenoxymethyl)-5,6-dihydroxy-1,3 diazepan-2-one",DB01732,No ATC Code,No Pathways
L-Phospholactate,DB01733,No ATC Code,No Pathways
3-(Oxalyl-Amino)-Naphthalene-2-Carboxylic Acid,DB01734,No ATC Code,No Pathways
3-Chloroalaninate,DB01735,No ATC Code,No Pathways
[3-(Dodecanoylamino)Propyl](Hydroxy)Dimethylammonium,DB01736,No ATC Code,No Pathways
"Nalpha-(2-Naphthylsulfonylglycyl)-3-Amidino-D,L-Phenylalanine-Isopropylester",DB01737,No ATC Code,No Pathways
Phosphorylcolamine,DB01738,No ATC Code,No Pathways
L-alloisoleucine,DB01739,No ATC Code,No Pathways
"4-butyl-5-propyl-1,3-selenazol-2-amine",DB01740,No ATC Code,No Pathways
CRA_17693,DB01741,No ATC Code,No Pathways
(3r)-1-Acetyl-3-Methylpiperidine,DB01742,No ATC Code,No Pathways
Camphor,DB01744,C01EB02,No Pathways
N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)Isopipecolinic Acid Methyl Ester,DB01745,No ATC Code,No Pathways
D-Leucine,DB01746,No ATC Code,No Pathways
Coprogen,DB01747,No ATC Code,No Pathways
N-Benzyl-4-Sulfamoyl-Benzamide,DB01748,No ATC Code,No Pathways
"1,2-Dimethoxyethane",DB01749,No ATC Code,No Pathways
1-naphthaleneacetic acid,DB01750,No ATC Code,No Pathways
Tetraiodothyroacetic acid,DB01751,No ATC Code,No Pathways
S-adenosyl-L-homocysteine,DB01752,No ATC Code,No Pathways
4-oxo-nicotinamide-adenine dinucleotide phosphate,DB01753,No ATC Code,No Pathways
"3,4-Dihydroxy-1-Methylquinolin-2(1h)-One",DB01754,No ATC Code,No Pathways
N-[Isoleucinyl]-N'-[adenosyl]-diaminosufone,DB01755,No ATC Code,No Pathways
4-phospho-L-threonic acid,DB01756,No ATC Code,No Pathways
3-Iodo-Tyrosine,DB01758,No ATC Code,Thyroid Hormone Synthesis
Kojic acid,DB01759,No ATC Code,No Pathways
2-Methoxy-3-Isopropylpyrazine,DB01760,No ATC Code,No Pathways
4-[5-[2-(1-phenyl-ethylamino)-pyrimidin-4-yl]-1-methyl-4-(3-trifluoromethylphenyl)-1H-imidazol-2-yl]-piperidine,DB01761,No ATC Code,No Pathways
Acetoacetic acid,DB01762,No ATC Code,"Tyrosine Metabolism, Butyrate Metabolism, 2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency, 3-Methylglutaconic Aciduria Type I, beta-Ketothiolase Deficiency, Tyrosinemia Type I, Tyrosinemia Type 3 (TYRO3), Disulfiram Action Pathway, Fatty Acid Biosynthesis, Isovaleric Acidemia, Phenylalanine and Tyrosine Metabolism, Ketone Body Metabolism, 3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency, Alkaptonuria, Hawkinsinuria, Methylmalonic Aciduria, Tyrosinemia Type 2 (or Richner-Hanhart Syndrome), Tyrosinemia, Transient, of the Newborn, Dopamine beta-Hydroxylase Deficiency, Isobutyryl-CoA Dehydrogenase Deficiency, Monoamine Oxidase-A Deficiency (MAO-A), Valine, Leucine, and Isoleucine Degradation, 3-Methylglutaconic Aciduria Type III, 3-Methylglutaconic Aciduria Type IV, Maple Syrup Urine Disease, Phenylketonuria, Propionic Acidemia, 3-Methylcrotonyl-CoA Carboxylase Deficiency Type I, Isovaleric Aciduria, Methylmalonate Semialdehyde Dehydrogenase Deficiency"
7-thionicotinamide-adenine-dinucleotide phosphate,DB01763,No ATC Code,No Pathways
Dalfopristin,DB01764,No ATC Code,No Pathways
"(5-hydroxyindolo[1,2-a]quinazolin-7-yl)acetic acid",DB01765,No ATC Code,No Pathways
Beta-(2-Naphthyl)-Alanine,DB01766,No ATC Code,No Pathways
Hemi-Babim,DB01767,No ATC Code,No Pathways
Methylumbelliferyl sialic acid,DB01768,No ATC Code,No Pathways
CRA_10991,DB01771,No ATC Code,No Pathways
"3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione",DB01772,No ATC Code,No Pathways
4-[3-carboxymethyl-3-(4-phosphonooxy-benzyl)-ureido]-4-[(3-cyclohexyl-propyl)-methyl-carbamoyl]butyric acid,DB01773,No ATC Code,No Pathways
Adenosine-5'-Monophosphate Glucopyranosyl-Monophosphate Ester,DB01774,No ATC Code,No Pathways
Dihydroxyacetone,DB01775,No ATC Code,No Pathways
M-Cresol,DB01776,No ATC Code,No Pathways
CoA-S-trimethylene-acetyl-tryptamine,DB01777,No ATC Code,No Pathways
8-Aminotheophylline,DB01778,No ATC Code,No Pathways
Glycerol 2-phosphate,DB01779,No ATC Code,No Pathways
Fusicoccin,DB01780,No ATC Code,No Pathways
Pyrazolanthrone,DB01782,No ATC Code,No Pathways
Pantothenic acid,DB01783,"D03AX04, A11HA31","Carnosinuria, Carnosinemia, beta-Alanine Metabolism, Pantothenate and CoA Biosynthesis, GABA-Transaminase Deficiency, Ureidopropionase Deficiency"
4-Flourobenzenesulfonamide,DB01784,No ATC Code,No Pathways
Dimethylallyl Diphosphate,DB01785,No ATC Code,"Lovastatin Action Pathway, Cerivastatin Action Pathway, Hypercholesterolemia, Chondrodysplasia Punctata II, X-Linked Dominant (CDPX2), Smith-Lemli-Opitz Syndrome (SLOS), Mevalonic Aciduria, Simvastatin Action Pathway, Pravastatin Action Pathway, Rosuvastatin Action Pathway, Zoledronate Action Pathway, Pamidronate Action Pathway, Fluvastatin Action Pathway, Lysosomal Acid Lipase Deficiency (Wolman Disease), Cholesteryl Ester Storage Disease, Steroid Biosynthesis, Ibandronate Action Pathway, Alendronate Action Pathway, Risedronate Action Pathway, Atorvastatin Action Pathway, Desmosterolosis, CHILD Syndrome, Hyper-IgD Syndrome, Wolman Disease"
D-Alanine,DB01786,No ATC Code,No Pathways
2-methyl-5-methylidenepyrimidin-4-imine,DB01788,No ATC Code,No Pathways
"1-Amino-2,3-Dihydroxy-5-Hydroxymethyl Cyclohex-5-Ene",DB01789,No ATC Code,No Pathways
(Rp)-cAMPS,DB01790,No ATC Code,No Pathways
Piclamilast,DB01791,No ATC Code,No Pathways
Adenylyl-(3'-5')-uridine 3'-monophosphate,DB01792,No ATC Code,No Pathways
SB-409513,DB01793,No ATC Code,No Pathways
bis(molybdopterin)tungsten cofactor,DB01794,No ATC Code,No Pathways
Phenylboronic acid,DB01795,No ATC Code,No Pathways
Quinolinic Acid,DB01796,No ATC Code,"Nicotinate and Nicotinamide Metabolism, Tryptophan Metabolism"
"(2R)-2-(aminomethyl)-2,4-dihydroxy-5-oxo-3-(2-oxoethyl)-2,5-dihydro-1H-imidazol-3-ium",DB01797,No ATC Code,No Pathways
Ethyl Dihydrogen Diphosphate,DB01798,No ATC Code,No Pathways
4-Hydroxy-3-Methyl Butyl Diphosphate,DB01799,No ATC Code,No Pathways
4-Nitrocatechol sulfate,DB01800,No ATC Code,No Pathways
"(4R)-7-Aza-7,8-dihydrolimonene",DB01802,No ATC Code,No Pathways
2-(Trimethylammonium)Ethyl Thiol,DB01803,No ATC Code,No Pathways
"2-Ammoniobut-3-Enoate, 2-Amino-3-Butenoate",DB01804,No ATC Code,No Pathways
Monoisopropylphosphorylserine,DB01805,No ATC Code,No Pathways
10-decarboxymethylaclacinomycin A,DB01806,No ATC Code,No Pathways
"N-[(3Z)-5-Tert-butyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-ylidene]-N'-(4-chlorophenyl)urea",DB01807,No ATC Code,No Pathways
Thiarsahydroxy-Cysteine,DB01808,No ATC Code,No Pathways
"1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",DB01809,No ATC Code,No Pathways
"[1-(1-Methyl-4,5-Dioxo-Pent-2-Enylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester",DB01810,No ATC Code,No Pathways
"3h-Indole-5,6-Diol",DB01811,No ATC Code,No Pathways
"Adenosine 3',5'-diphosphate",DB01812,No ATC Code,No Pathways
Pyridoxyl-Glutamic Acid-5'-Monophosphate,DB01813,No ATC Code,No Pathways
2-Tridecanoyloxy-Pentadecanoic Acid,DB01814,No ATC Code,No Pathways
Nz-(Dicarboxymethyl)Lysine,DB01815,No ATC Code,No Pathways
Castanospermine,DB01816,No ATC Code,No Pathways
Threonine-Aspartic Ester,DB01817,No ATC Code,No Pathways
O3-Sulfonylgalactose,DB01818,No ATC Code,No Pathways
Phosphoenolpyruvate,DB01819,No ATC Code,"Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease, Fructose-1,6-diphosphatase Deficiency, Triosephosphate Isomerase, Fanconi-Bickel Syndrome, Warburg Effect, Glycolysis, Amino Sugar Metabolism, Glycogenosis, Type VII. Tarui Disease, G(M2)-Gangliosidosis: Variant B, Tay-Sachs Disease, Pyruvate Kinase Deficiency, Phosphoenolpyruvate Carboxykinase Deficiency 1 (PEPCK1), Glycogenosis, Type IB, Pyruvate Metabolism, Gluconeogenesis, Leigh Syndrome, Pyruvate Dehydrogenase Complex Deficiency, Sialuria or French Type Sialuria, Sialuria or French Type Sialuria, Salla Disease/Infantile Sialic Acid Storage Disease, Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency), Tay-Sachs Disease, Primary Hyperoxaluria II, PH2, Glycogenosis, Type IC, Glycogenosis, Type IA. Von Gierke Disease"
2-{[4-(2-Acetylamino-2-pentylcarbamoyl-ethyl)-naphthalen-1-YL]-oxalyl-amino}-benzoic acid,DB01820,No ATC Code,No Pathways
"L-N(omega)-Nitroarginine-2,4-L-diaminobutyric amide",DB01821,No ATC Code,No Pathways
"(4R,5R)-1,2-dithiane-4,5-diol",DB01822,No ATC Code,Vitamin K Metabolism
Beta-D-Glucopyranose Spirohydantoin,DB01823,No ATC Code,No Pathways
"(3S)-Tetrahydro-3-furanyl {(2S,3S)-4-[(2S,4R)-4-{(1S,2R)-2-[(S)-amino(hydroxy)methoxy]-2,3-dihydro-1H-inden-1-yl}-2-benzyl-3-oxo-2-pyrrolidinyl]-3-hydroxy-1-phenyl-2-butanyl}carbamate",DB01824,No ATC Code,No Pathways
2-amino-8-methyl-4(1H)-quinazolinone,DB01825,No ATC Code,No Pathways
N-Butyl Isocyanide,DB01826,No ATC Code,No Pathways
"2,3,5,6-Tetrafluoro-4-Methoxy-Benzamide",DB01827,No ATC Code,No Pathways
Methylamine,DB01828,No ATC Code,"Citalopram Metabolism Pathway, Tyrosine Metabolism, Tyrosinemia Type I, Citalopram Action Pathway, Disulfiram Action Pathway, Alkaptonuria, Hawkinsinuria, Tyrosinemia, Transient, of the Newborn, Dopamine beta-Hydroxylase Deficiency, Monoamine Oxidase-A Deficiency (MAO-A)"
Desulfo-coenzyme A,DB01829,No ATC Code,No Pathways
AP-22408,DB01830,No ATC Code,No Pathways
Tryptophanyl-5'amp,DB01831,No ATC Code,No Pathways
4-[Hydroxy-[Methyl-Phosphinoyl]]-3-Oxo-Butanoic Acid,DB01832,No ATC Code,No Pathways
Canavanine,DB01833,No ATC Code,No Pathways
"(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene",DB01834,No ATC Code,No Pathways
4R-Fluoro-N6-ethanimidoyl-L-lysine,DB01835,No ATC Code,No Pathways
"[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone",DB01836,No ATC Code,No Pathways
O-acetyl-L-serine,DB01837,No ATC Code,No Pathways
"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",DB01838,No ATC Code,No Pathways
Propylene glycol,DB01839,No ATC Code,"Pyruvate Kinase Deficiency, Pyruvate Metabolism, Leigh Syndrome, Pyruvate Dehydrogenase Complex Deficiency, Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency), Primary Hyperoxaluria II, PH2"
2-Deoxy-D-Glucitol 6-(E)-Vinylhomophosphonate,DB01840,No ATC Code,No Pathways
"4,6-Dideoxyglucose",DB01841,No ATC Code,No Pathways
3'-Phosphate-Adenosine-5'-Diphosphate,DB01842,No ATC Code,No Pathways
"(5S,7R,8S,9S,10R)-3-Amino-8,9,10-trihydroxy-7-(hydroxymethyl)-6-oxa-1,3-diazaspiro[4.5]decane-2,4-dione",DB01843,No ATC Code,No Pathways
"N,N-dimethylformamide",DB01844,No ATC Code,No Pathways
Oxidized coenzyme A,DB01846,No ATC Code,No Pathways
N-Carbamyl-D-Valine,DB01847,No ATC Code,No Pathways
Dihydrouracil,DB01849,No ATC Code,"Carnosinuria, Carnosinemia, Pyrimidine Metabolism, MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy), beta-Alanine Metabolism, beta-Ureidopropionase Deficiency, Dihydropyrimidinase Deficiency, UMP Synthase Deficiency (Orotic Aciduria), GABA-Transaminase Deficiency, Ureidopropionase Deficiency"
"(2S,3S,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid",DB01850,No ATC Code,No Pathways
Tetrabutylammonium Ion,DB01851,No ATC Code,No Pathways
Kaempherol,DB01852,No ATC Code,No Pathways
Bacteriochlorophyll A,DB01853,No ATC Code,No Pathways
5-Bromonicotinamide,DB01854,No ATC Code,No Pathways
5-(Hydroxy-Methyl-Amino)-3-Methyl-Pyrrolidine-2-Carboxylic Acid,DB01855,No ATC Code,No Pathways
Pimelic Acid,DB01856,No ATC Code,No Pathways
Phosphoaspartate,DB01857,No ATC Code,No Pathways
[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate,DB01858,No ATC Code,No Pathways
4-CDP-2-C-methyl-D-erythritol 2-phosphate,DB01859,No ATC Code,No Pathways
Cordycepin Triphosphate,DB01860,No ATC Code,No Pathways
Uridine diphosphate glucose,DB01861,No ATC Code,"Galactose Metabolism, Starch and Sucrose Metabolism, Globoid Cell Leukodystrophy, Lactose Synthesis, Glycogen Synthetase Deficiency, Glycogenosis, Type III. Cori Disease, Debrancher Glycogenosis, Galactosemia, Metachromatic Leukodystrophy (MLD), Galactosemia II (GALK), Mucopolysaccharidosis VI. Sly Syndrome, Sucrase-Isomaltase Deficiency, GLUT-1 Deficiency Syndrome, Nucleotide Sugars Metabolism, Sphingolipid Metabolism, Gaucher Disease, Galactosemia III, Fabry Disease, Krabbe Disease, Glycogenosis, Type IV. Amylopectinosis, Anderson Disease, Glycogenosis, Type VI. Hers Disease, Congenital Disorder of Glycosylation CDG-IId"
Isopropyl beta-D-thiogalactopyranoside,DB01862,No ATC Code,No Pathways
"Inositol 1,3,4,5-Tetrakisphosphate",DB01863,No ATC Code,No Pathways
5'-Guanosine-Diphosphate-Monothiophosphate,DB01864,No ATC Code,No Pathways
3-(6-Aminopyridin-3-Yl)-N-Methyl-N-[(1-Methyl-1h-Indol-2-Yl)Methyl]Acrylamide,DB01865,No ATC Code,No Pathways
RU79256,DB01866,No ATC Code,No Pathways
Glycyl-L-a-Aminopimelyl-E-(D-2-Aminoethyl)Phosphonate,DB01868,No ATC Code,No Pathways
"1,4-dithio-alpha-D-glucopyranose",DB01870,No ATC Code,No Pathways
[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester,DB01871,No ATC Code,No Pathways
2-deoxy-2-acetamido-beta-D-galactose-4-sulfate,DB01872,No ATC Code,No Pathways
Epothilone D,DB01873,No ATC Code,No Pathways
Tropinone,DB01874,No ATC Code,No Pathways
8-azaxanthine,DB01875,No ATC Code,No Pathways
Bis(5-Amidino-2-Benzimidazolyl)Methanone,DB01876,No ATC Code,No Pathways
"N-Hydroxy 1n(4-Methoxyphenyl)Sulfonyl-4-(Z,E-N-Methoxyimino)Pyrrolidine-2r-Carboxamide",DB01877,No ATC Code,No Pathways
Benzophenone,DB01878,No ATC Code,No Pathways
(S)-2-{Methyl-[2-(Naphthalene-2-Sulfonylamino)-5-(Naphthalene-2-Sulfonyloxy)-Benzoyl]-Amino}-Succinicacid,DB01879,No ATC Code,No Pathways
"3,4-Dihydroxycinnamic Acid",DB01880,No ATC Code,No Pathways
"2-Methylpentane-1,2,4-Triol",DB01881,No ATC Code,No Pathways
"(2s)-2-Amino-4-(Methylsulfanyl)-1-Pyridin-2-Ylbutane-1,1-Diol",DB01882,No ATC Code,No Pathways
N-(Sulfanylacetyl)Tyrosylprolylmethioninamide,DB01883,No ATC Code,No Pathways
2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One,DB01884,No ATC Code,No Pathways
D-Galctopyranosyl-1-On,DB01885,No ATC Code,No Pathways
"N,N-[2,5-O-Dibenzyl-glucaryl]-DI-[1-amino-indan-2-OL]",DB01887,No ATC Code,No Pathways
"4-[5-(Trans-4-Aminocyclohexylamino)-3-Isopropylpyrazolo[1,5-a]Pyrimidin-7-Ylamino]-N,N-Dimethylbenzenesulfonamide",DB01888,No ATC Code,No Pathways
"16,17-Androstene-3-Ol",DB01889,No ATC Code,No Pathways
"N,N-Bis(3-(D-gluconamido)propyl)deoxycholamide",DB01890,No ATC Code,No Pathways
Tl-3-093,DB01891,No ATC Code,No Pathways
Hyperforin,DB01892,No ATC Code,No Pathways
N6-Benzyl Adenosine-5'-Diphosphate,DB01893,No ATC Code,No Pathways
Aspartyl-Adenosine-5'-Monophosphate,DB01895,No ATC Code,No Pathways
M-Aminophenylboronic Acid,DB01896,No ATC Code,No Pathways
2-(2f-Benzothiazolyl)-5-Styryl-3-(4f-Phthalhydrazidyl)Tetrazolium Chloride,DB01897,No ATC Code,No Pathways
"(2S,3S)-2-azanyl-3-methyl-pentanedioic acid",DB01898,No ATC Code,No Pathways
Nd1-Phosphonohistidine,DB01899,No ATC Code,No Pathways
Sucrosofate,DB01901,No ATC Code,No Pathways
"1-Ethyl-Pyrrolidine-2,5-Dione",DB01902,No ATC Code,No Pathways
5-Bromo-2'-deoxyuridine 5'-(dihydrogen phosphate),DB01903,No ATC Code,No Pathways
2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,DB01905,No ATC Code,No Pathways
"3-(5-amino-7-hydroxy-(1,2,3)triazolo(4,5-d)pyrimidin-2-yl)benzoic acid",DB01906,No ATC Code,No Pathways
RU85493,DB01908,No ATC Code,No Pathways
Alpha-Cyclodextrin (Cyclohexa-Amylose),DB01909,No ATC Code,No Pathways
Sinefungin,DB01910,No ATC Code,No Pathways
N-Methylmesoporphyrin,DB01911,No ATC Code,No Pathways
"2,2':6',2''-Terpyridine Platinum(Ii)",DB01912,No ATC Code,No Pathways
D-glucose,DB01914,No ATC Code,No Pathways
S-Hydroxycysteine,DB01915,No ATC Code,No Pathways
Putrescine,DB01917,No ATC Code,"Cystathionine beta-Synthase Deficiency, Methionine Metabolism, Methionine Adenosyltransferase Deficiency, Spermidine and Spermine Biosynthesis, S-Adenosylhomocysteine (SAH) Hydrolase Deficiency, Glycine N-Methyltransferase Deficiency, Methylenetetrahydrofolate Reductase Deficiency (MTHFRD), Hypermethioninemia, Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type"
[Methyltelluro]Acetate,DB01918,No ATC Code,No Pathways
Pentanal,DB01919,No ATC Code,No Pathways
1-O-[O-Nitrophenyl]-Beta-D-Galactopyranose,DB01920,No ATC Code,No Pathways
Xylose-derived lactam oxime,DB01921,No ATC Code,No Pathways
"Maltosyl-Alpha (1,4)-D-Gluconhydroximo-1,5-Lactam",DB01922,No ATC Code,No Pathways
L-Xylulose 5-Phosphate,DB01923,No ATC Code,No Pathways
Benzhydroxamic Acid,DB01924,No ATC Code,No Pathways
"2'-Chloro-Biphenyl-2,3-Diol",DB01925,No ATC Code,No Pathways
Carboxymycobactin S,DB01926,No ATC Code,No Pathways
Duroquinone,DB01927,No ATC Code,No Pathways
"5-Chloryl-2,4,6-quinazolinetriamine",DB01929,No ATC Code,No Pathways
"2,4-Dihydroxy-3,3-Dimethyl-Butyrate",DB01930,No ATC Code,No Pathways
"5,7-Dichlorokynurenic acid",DB01931,No ATC Code,No Pathways
5-Methylpyrrole,DB01932,No ATC Code,No Pathways
7-Hydroxystaurosporine,DB01933,No ATC Code,No Pathways
Arylomycin A2,DB01934,No ATC Code,No Pathways
3-{[(1r)-1-Benzyl-2-Sulfanylethyl]Amino}-3-Oxopropanoic Acid,DB01935,No ATC Code,No Pathways
alpha-D-arabinofuranose,DB01936,No ATC Code,No Pathways
Guanosine-2'-monophosphate,DB01937,No ATC Code,No Pathways
L-Histidine Beta Naphthylamide,DB01938,No ATC Code,No Pathways
5-Amidino-Benzimidazole,DB01939,No ATC Code,No Pathways
Balanol Analog 2,DB01940,No ATC Code,No Pathways
LG-100268,DB01941,No ATC Code,No Pathways
Formic acid,DB01942,No ATC Code,"Simvastatin Action Pathway, Pravastatin Action Pathway, Rosuvastatin Action Pathway, Zoledronate Action Pathway, Pamidronate Action Pathway, Fluvastatin Action Pathway, Lysosomal Acid Lipase Deficiency (Wolman Disease), Hyperphenylalaniemia Due to Guanosine Triphosphate Cyclohydrolase Deficiency, Hyperphenylalaninemia Due to 6-Pyruvoyltetrahydropterin Synthase Deficiency (ptps), Cholesteryl Ester Storage Disease, Methylenetetrahydrofolate Reductase Deficiency (MTHFRD), Folate Metabolism, Tryptophan Metabolism, Androgen and Estrogen Metabolism, Lovastatin Action Pathway, Cerivastatin Action Pathway, Hypercholesterolemia, Chondrodysplasia Punctata II, X-Linked Dominant (CDPX2), Smith-Lemli-Opitz Syndrome (SLOS), DOPA-Responsive Dystonia, Mevalonic Aciduria, Aromatase Deficiency, Pterine Biosynthesis, Steroid Biosynthesis, Ibandronate Action Pathway, Alendronate Action Pathway, Risedronate Action Pathway, Atorvastatin Action Pathway, 17-beta Hydroxysteroid Dehydrogenase III Deficiency, Desmosterolosis"
(S)-blebbistatin,DB01944,No ATC Code,No Pathways
